id;hoehe;breite;laenge;ort
458;5146;50;52.9414;10.5289;Uelzen
459;5149;308;49.5741;10.1916;Gollhofen
460;5155;566.8;48.3837;9.9524;Ulm
461;5158;162;52.1601;11.1759;Ummendorf
462;5229;720;48.0453;8.4608;Villingen-Schwenningen
463;5275;105;49.2445;8.5374;Waghäusel-Kirrlach
464;5279;176;51.6184;9.5761;Wahlsburg-Lippoldsberg
465;5280;35;53.9223;10.2268;Wittenborn
466;5300;380;50.2596;8.3607;Waldems-Reinborn
467;5317;509;50.0097;12.2979;Waldsassen
468;5335;348;50.8963;10.5484;Waltershausen
469;5347;235.8;51.504;9.1118;Warburg
470;5349;72.6;53.5196;12.6654;Waren (Müritz)
471;5371;921;50.4973;9.9428;Wasserkuppe
472;5397;439.6;49.6663;12.1845;Weiden
473;5424;325;51.0176;11.3544;Weimar-Schöndorf
474;5426;553;49.3758;8.1213;Weinbiet
475;5433;380;49.5534;6.812;Weiskirchen/Saar
476;5435;455;48.8457;8.9073;Weissach
477;5440;439.3;49.0116;10.9308;Weißenburg-Emetzheim
478;5442;109;51.2002;11.9154;Weißenfels
479;5445;165;51.212;10.9956;Weißensee-Ottenhausen
480;5453;173;48.188;7.6977;Weisweil-Waldeckhof
481;5467;1832;47.7035;12.0119;Wendelstein
482;5480;84.8;51.5763;7.8879;Werl
483;5490;233.1;51.8454;10.7686;Wernigerode
484;5516;3;54.5284;11.0605;Fehmarn
485;5538;550;47.8827;11.1576;Wielenbach (Demollstr.)
486;5541;263;50.132;8.317;Wiesbaden-Auringen
487;5546;187;52.1207;12.4585;Wiesenburg
488;5559;385;48.7848;8.5764;Wildbad, Bad-Calmbach
489;5562;570;48.6516;8.6801;Neubulach-Oberhaugstett
490;5609;240;48.8031;9.4699;Winterbach, Rems-Murr-Kreis
491;5624;13;53.9026;11.4254;Wismar
492;5629;105;51.8892;12.6445;Wittenberg
493;5640;8;53.5504;7.6672;Wittmundhafen
494;5643;66;53.1864;12.4949;Wittstock-Rote Mühle
495;5664;291;48.2953;8.2391;Wolfach
496;5676;82;52.3962;10.6892;Wolfsburg (Südwest)
497;5692;88;49.6051;8.3659;Worms
498;5705;268;49.7703;9.9577;Würzburg
499;5715;57;52.4605;9.4311;Wunstorf
