id,datum_anfang,datum_ende,luft_max,luft,luft_min,windstaerke,sonnenschein,niederschlag,max_max_luft,min_min_luft,max_windspitze,max_niederschlag
4703,2015-07-01,2015-07-31,27.7,19.8,11.3,-999,-999,42.4,34.7,3.9,-999,19.6
4703,2015-08-01,2015-08-31,26.5,18.7,11.6,-999,-999,73.7,34.9,5.6,-999,40.3
4508,2015-06-01,2015-06-30,18.3,13.3,8.1,-999,-999,74.9,28.7,4.6,-999,29.4
4508,2015-07-01,2015-07-31,21.8,16.5,11.6,-999,-999,73.2,32.6,4.5,-999,17.8
4508,2015-08-01,2015-08-31,21.7,16.6,12.2,-999,-999,88.2,29.8,6.7,-999,28.3
880,2015-06-01,2015-06-30,22.5,16.6,10.4,2,206.7,61.9,34.2,4.3,15,11.7
880,2015-07-01,2015-07-31,26.4,20.5,14.3,2.19,257.5,83.5,36.8,6.6,21.9,20.5
880,2015-08-01,2015-08-31,29.9,22.6,15.1,1.94,279.9,16,38.5,6.8,14.4,5.7
1550,2015-06-01,2015-06-30,22.1,16.1,10.4,1.7,181,173.2,29.2,5.4,15.5,24.5
1550,2015-07-01,2015-07-31,27,19.8,12.9,1.77,256.4,106.4,35.8,6.6,21,19.5
1550,2015-08-01,2015-08-31,25.8,18.4,11.7,1.19,230.7,160.3,33.8,6.6,15.4,45.6
2044,2015-06-01,2015-06-30,19.3,13.8,7.7,2.3,166.3,34.3,28.5,2.4,17.3,10.3
2044,2015-07-01,2015-07-31,23.8,17.6,11.2,2.58,249.7,80.7,35.7,4,25.1,17.1
2044,2015-08-01,2015-08-31,25.2,18.7,12.2,2.26,254.9,110.7,32.6,4.3,18.1,39.9
5349,2015-06-01,2015-06-30,20.4,15.3,10.4,2.27,206.8,26.4,27.3,6.1,17.2,7.6
5349,2015-07-01,2015-07-31,23.3,18.4,13.5,2.48,225.2,58.7,35.8,8,18.8,15.2
5349,2015-08-01,2015-08-31,26.4,20.2,14.4,-999,273.5,-999,32.4,6.9,17,23.8
4625,2015-06-01,2015-06-30,20.1,15.1,9.9,2.53,204.9,20.9,28.6,5.9,17.2,6.6
4625,2015-07-01,2015-07-31,22.9,17.9,13.2,2.71,223.1,103.6,36,8.6,22.3,15.9
4625,2015-08-01,2015-08-31,25,19.3,13.9,-999,238,-999,32.3,6.9,15,17.3
1358,2015-06-01,2015-06-30,14.1,10.2,6.6,4.03,150.8,113.1,24.7,1.9,25.1,26.4
1358,2015-07-01,2015-07-31,18.5,14.4,10.3,4.65,250.4,94.4,27.6,2.6,28.5,23.8
1358,2015-08-01,2015-08-31,20.4,16.3,12.4,3.97,260.1,101.7,28.1,7.2,25,49.9
3527,2015-06-01,2015-06-30,19.4,14.6,9.8,-999,-999,47.8,29.4,5.9,-999,13.5
3527,2015-07-01,2015-07-31,23.6,18.3,13.2,-999,-999,86.2,34.4,5.1,-999,14.3
3527,2015-08-01,2015-08-31,24.2,18.9,13.8,-999,-999,101.9,33,9.2,-999,58.7
3513,2015-06-01,2015-06-30,16.9,12.7,8.6,2.57,176.6,68.3,27,4,18.2,28.1
3513,2015-07-01,2015-07-31,21.5,16.8,12,2.65,248.8,124.3,32.3,3.8,24.6,31.6
3513,2015-08-01,2015-08-31,22.4,17.7,13.3,2.42,242.2,77.7,32.4,8.1,16.8,31.9
3987,2015-06-01,2015-06-30,22.4,16.7,11.6,2.7,221.5,74.4,31.9,7.2,20,28.1
3987,2015-07-01,2015-07-31,25.4,19.7,14.7,3.06,250.1,72.1,37.6,9.7,22.7,17.7
3987,2015-08-01,2015-08-31,28.8,21.8,16.2,2.68,289.2,75.9,37.6,10,19.3,46.3
4692,2015-06-01,2015-06-30,21.4,16,9.5,-999,-999,58.9,31.5,5.3,-999,17.5
4692,2015-07-01,2015-07-31,25.2,19.2,13.5,-999,-999,102.4,36.4,5.2,-999,22.3
4692,2015-08-01,2015-08-31,25.7,19.3,13.4,-999,-999,94.9,33.9,9.4,-999,19.6
2480,2015-06-01,2015-06-30,24,18.1,11.8,-999,-999,48.8,33.8,7.9,-999,14.7
2480,2015-07-01,2015-07-31,28.9,22.2,15.3,-999,-999,26.5,39.8,7.3,-999,8
2480,2015-08-01,2015-08-31,28.5,21.8,15.5,-999,-999,50.7,39.3,10.2,-999,20.2
722,2015-06-01,2015-06-30,12.3,8.6,5,4.67,154.4,92.5,21.4,1.5,31.5,24
722,2015-07-01,2015-07-31,16.2,12.5,9.1,5.23,193.7,184.7,27.8,1.8,44.1,24.5
722,2015-08-01,2015-08-31,18.2,14.6,11,4.32,241.6,106.9,24.9,5.8,28.7,43.8
5692,2015-06-01,2015-06-30,24.3,18.4,12.3,-999,-999,47.2,34.1,8.6,-999,8
5692,2015-07-01,2015-07-31,29.2,22.3,15.3,-999,-999,21.2,37.9,7.5,-999,11.2
5692,2015-08-01,2015-08-31,28.3,21.5,15.2,-999,-999,37.4,38.2,8.7,-999,8.7
3612,2015-06-01,2015-06-30,21.5,15.6,8.7,-999,214.7,22.9,31.3,2.6,-999,5.2
3612,2015-07-01,2015-07-31,24.2,18.6,12.9,-999,216.6,122.7,37.6,7.1,-999,19.9
3612,2015-08-01,2015-08-31,25.4,19.4,13.4,-999,223.9,110.4,33.1,7,-999,27.6
3631,2015-06-01,2015-06-30,17,14.2,11.8,3.73,239,39.6,28.5,9,18.2,8.2
3631,2015-07-01,2015-07-31,20.5,17.4,14.7,3.81,222.7,148,34.1,12,27.4,29
3631,2015-08-01,2015-08-31,21.6,18.3,15.4,3.13,220.1,95.8,29.9,10.6,26.5,28.7
1757,2015-06-01,2015-06-30,19.1,14.7,9.7,2.5,211.2,28.7,28.4,6,16.6,7.6
